Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11"
8155,0,-0.0210421909713597,-0.0772272082568441,-0.0977484814389509,-0.070227050929875,-0.0529213119407104,-0.0763790470428433,-0.101875557935208,-0.0990082101504107,-0.048359915141876,-0.0494148331157352
8156,0,0.017210807397414,-0.0276108401335845,-0.0735832189489649,-0.0500515763711695,-0.0624596883258197,-0.0809634517245755,-0.0533790017718999,-0.0771750284271597,-0.00455240868434736,-0.0231630012982851
8157,0,0.0385006997990112,-0.0186838361576642,-0.0615218277106169,-0.0412144472881832,-0.0504737178286595,-0.0780483955333146,-0.0564947106583308,-0.0668115843934317,-0.0169830360598796,-0.02114270060113
8158,0,-0.0192886424747858,-0.0489653902108993,-0.106528704723021,-0.0674142783939301,-0.0674833736646152,-0.0900953171827081,-0.0623331713861214,-0.0946595057878018,-0.00587745211616175,-0.0408587730972475
8159,0,-0.0156019708846088,-0.0636393844775072,-0.103143738095453,-0.0611982824822405,-0.0484662250043328,-0.07149238521891,-0.0820080710105642,-0.0808855756955994,-0.0265159376387432,-0.0462743672769308
8160,0,-0.0216731715274829,-0.0698656281020817,-0.106637961820011,-0.0616123796330593,-0.0456883359696244,-0.0710718532994132,-0.087247253798341,-0.0881713600669469,-0.0330951280082896,-0.0535119573859738
8161,0,-0.0163706938353231,-0.0471200461752785,-0.107840994442137,-0.0612451685441694,-0.055745595805947,-0.0805696269789232,-0.0651907676032724,-0.0943506912322424,-0.0150700103266515,-0.0488830777402882
8162,0,0.0100239817569949,-0.0390819635160763,-0.089134396034691,-0.0488860414328427,-0.0409494549063419,-0.0725497738189932,-0.0695293592617472,-0.0871234427507555,-0.0300573148451401,-0.0477282250652901
8163,0,-0.00243929236637919,-0.064093165698229,-0.0813062039323602,-0.0733401628445153,-0.0636966353627558,-0.0839407261497209,-0.0798124957249678,-0.0854228154042532,-0.0374072560568376,-0.0300420004587006
8164,0,-0.0319151018821923,-0.0526171656068828,-0.0896165474818023,-0.0923498091798552,-0.113187961286585,-0.133580128927532,-0.160650949255151,-0.0443209456279544,-0.102900003455997,-0.00420244650847879
8165,0,-0.0138425552600405,-0.0400817126512636,-0.0634062518108229,-0.0738642874351771,-0.0999345936061808,-0.114962124488601,-0.156348308670414,-0.0374555784897083,-0.0963427361120628,-0.00338967953527636
8166,0,-0.0101742046501994,-0.0345591380298833,-0.0718826578052146,-0.0719135719047067,-0.0963972269198464,-0.110571047673049,-0.157250871534982,-0.0503228327211455,-0.111988907980202,0.000559593099319189
8167,0,0.0096291750099482,-0.0244692544662607,-0.0535878735896551,-0.0619785486712245,-0.0887597606087585,-0.100063962200245,-0.159150679695272,-0.0483396554440826,-0.122033587817829,0.00846922909877268
8168,0,-0.0151986012263922,-0.0212413215801365,-0.0682784508205959,-0.055694024054371,-0.081756593589579,-0.0920045242111865,-0.152912328286635,-0.0613233105928965,-0.0999467518054616,-0.00721925217656649
8169,0,-0.0494408503490367,-0.0528190164423983,-0.106896271822591,-0.0991257093357363,-0.115274807285827,-0.132497351241996,-0.165308553762486,-0.0472322823827661,-0.103035834450409,0.00718178570865868
8170,0,-0.0486711426065449,-0.0426277598078922,-0.106651759525838,-0.0906205680068474,-0.102962495270781,-0.124947780519539,-0.159859031527693,-0.0672533164310615,-0.112392028914446,0.00278040144074487
8171,0,-0.0436373614093927,-0.0246785229747456,-0.0717765838092926,-0.0523628066071294,-0.0736547526918802,-0.0788576147307195,-0.146110633569098,-0.0672452942960727,-0.0676830703135544,-0.0179132599458561
8172,0,-0.0806350155629691,-0.0393918489026486,-0.0977699573941002,-0.0745945488012281,-0.0811489952216998,-0.0908359728593298,-0.152674044399599,-0.0747354055014866,-0.0599777744746138,-0.0188756976456634
8173,0,-0.111936994324237,-0.0467843711582796,-0.110935125880085,-0.0794360504213715,-0.0796813507871449,-0.0824087095771686,-0.150864654332094,-0.0834344729618131,-0.0346487307074118,-0.0281794358008497
8174,0,-0.0937330893756533,-0.0301677295811826,-0.124428337212944,-0.0714400397271687,-0.0764545113160405,-0.0787091508298206,-0.14211823006235,-0.0915116983563737,-0.025825300965344,-0.0365019761916395
8175,0,-0.105256488726462,-0.034018031282731,-0.131455271866247,-0.0797505696657594,-0.0793846586404038,-0.0811084821431642,-0.146456598066986,-0.106159043147543,-0.0308928192073495,-0.0348406474983454
8176,0,-0.0156664196206819,-0.0478529988583569,-0.0786976686405648,-0.100162024296846,-0.121934974302477,-0.144917566827653,-0.143578003991205,-0.0565506467000624,-0.100509876488259,-0.0226740993219232
8177,0,-0.0694745287302929,-0.0397614621510741,-0.135209926128719,-0.0894949355381405,-0.105726956455014,-0.127116906393615,-0.148190662835452,-0.0904755440879164,-0.103923281571232,-0.00891933263349831
